Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,42.8,-41.395,90.0,top
C3,22μF,C_0603_1608Metric,64.08,-40.06,180.0,top
C4,22μF,C_0603_1608Metric,60.31,-40.06,0.0,top
D1,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,53.26,-35.205,180.0,top
D2,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,59.44,-60.59,44.0,top
D3,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,28.52,-32.8,-128.0,top
D4,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,57.35,-30.99,-149.0,top
D5,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,54.91,-64.97,43.0,top
D6,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,33.05,-29.65,-161.0,top
D7,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,62.44,-29.06,-171.0,top
D8,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,50.23,-69.4,0.0,top
D9,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,38.18,-29.06,171.0,top
D10,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,67.72,-29.65,163.0,top
D11,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,45.73,-64.97,-44.0,top
D12,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,43.28,-30.99,149.0,top
D13,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,72.08,-32.8,130.0,top
D14,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,41.17,-60.59,-44.0,top
D15,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,47.285,-35.205,180.0,top
D16,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,74.08,-37.26,101.0,top
D17,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,36.76,-56.27,-44.0,top
D18,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,74.42,-42.22,82.0,top
D19,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,32.29,-52.04,-44.0,top
D20,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,72.15,-47.09,58.0,top
D21,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,28.37,-47.09,-58.0,top
D22,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,68.287088,-52.04,46.0,top
D23,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,26.46,-42.22,-82.0,top
D24,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,63.84,-56.27,44.0,top
D25,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,26.61,-37.26,-102.0,top
J1,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,50.185,-57.96,90.0,top
L1,MLP2012V4R7MT0S1,L_0805_2012Metric,65.3,-43.33,90.0,top
Q1,A1SHB,SOT95P237X112-3N,50.42,-45.64,90.0,top
R1,1K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,42.81,-44.815,-90.0,top
R2,180kΩ,R_0805_2012Metric,58.9,-43.26,90.0,top
R3,"1,5MΩ",R_0603_1608Metric,62.08,-45.79,180.0,top
U2,TPS61240TDRVRQ1,SON65P200X200X80-7N,62.05,-42.83,0.0,top
