Designator,Footprint,Quantity,Value,LCSC Part #
C1,1210,1,100µF,
C2,0402,1,100nF,
C3,0805,1,22μF,
C4,0603,1,22μF,
C5,0805,1,2.2µF,
C6,0603,1,100nF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D3, D4, D5, D6, D7, D8, D9",LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,25,SK6805,
J1,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
J2,HARWIN_S8421-45R,1,CR2032,
L1,0805,1,1μH,
MCU1,VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm,1,ATtiny816-MNR,
Q2,SOT95P237X112-3N,1,BSS138,
R1,0402,1,1K,
"R4, R5",0402,2,10K,
R6,0805,1,100K,
SW-ANIM1,SW_Push_1P1T_XKB_TS-1187A,1,TS-1187A-B-A-B,
"TP1, TP2, TP4",TestPoint_Pad_D1.5mm,3,PC3,
U2,SON65P200X200X80-7N,1,TPS61240,
